Keyword,Song title,Artist,Release date,Page views,Lyrics
Ginobili,Soul Khan vs QP,Grind Time Now,2010-05-07,5203,"and turn it to Shane Mosley's nose
Or maybe Ginobili's nose
Fredo, I got you
The people's"
Ginobili,Flexicution Remix (#OneTake),Futuristic,2016-07-17,5469,"it's like the lay up and I'm not Ginobili
If you say you ready then you gotta show"
Ginobili,Lemon Juice,ZillaKami,2021-09-17,11290,"away (Okay, okay), Kobe
Lefty on the sniper shootin' like Ginóbili (Yeah)
Them sideways niggas in the function (Okay)
Clutch"
Ginobili,CHILL.,Tobe Nwigwe,2018-03-04,5360,"got a partner selling soft, another sell hard
They like Ginobili on the block, ready to catch a charge
I"
Ginobili,Gas,Shoreline Mafia,2020-11-27,NA,"I'm Kobe (Like I'm Kobe)
Serving white like Ginóbili, call your bitch up when I'm lonely
Lil"
Ginobili,2013 NBA Off-Season - Free Agent Signings,NBA (Archives),,NA,"signed Tiago Splitter (4 years, $36 million)
Re-signed Manu Ginobili (2 years, $14 million)
Signed Marco Belinelli (2 years"
Ginobili,I’m Killin’ Em,Meek Mill,2010-03-12,NA,"know me
Grey and black spur on dubs call it Ginobili
You niggas like 40, can't stick me to"
Ginobili,The War on Drugs,Curren$y & Young Roddy,2013-09-06,NA,"hate to see me up and see me ball like Ginóbili
They'd rather see me injured on the side"
Ginobili,Top,Higher Brothers,2019-02-22,NA,"might just kill like Chernobyl
I might shoot shots like Ginobili
I might just ball like Kobe
I might just"
Ginobili,The Name,KB,2020-09-25,6049,"My freedom's Your glory
When it's goin' left, Ginóbili
Still doin' what You told me
Puttin' all the"
Ginobili,Only One,The Game,2019-06-24,NA,"key
And in the spur of the moment I'm Ginóbili
Meanin' I ball with Kobe while you sit in"
Ginobili,Another Cup,Post Malone,2015-01-06,NA,"shots, no Goldie
In the spur of the moment like Ginobili
Hit her with the Chris Paul, pass her to"
Ginobili,Talk,Touché Amoré,2004-03-28,NA,"cozy
I was two handing now your block fuck a Ginobili
I take off your top off your shoulders
My"
Ginobili,Element of Surprise,Lloyd Banks,2021-01-08,NA,"I'm big homie punchin'
Retired three of my jerseys, Ginóbili, Tony, Duncan
Got a low tolerance lately, these nosy"
Ginobili,MOVE DOLEY,DUSTY LOCANE & 1090 OP,2021-04-23,NA,"yo, OP
Leave 'em leaking, slowly
Shoot shots, bend blocks, Ginobili
20K up in the duffy, turn that nigga to"
Ginobili,White Silk Pants,RiFF RAFF,,NA,"chopping like Shinobi
Act like they know me, ball like Ginóbili
Las Vegas can't fold me, rap game Axel"
Ginobili,Jealousy,Famous Dex,2015-05-10,NA,"thing, 'cause I'm balling like Kobe
I shoot like Ginóbili, ain't taking no trust but a pya if"
Ginobili,Ball Like I’m Kobe,Soulja Boy,2019-02-23,NA,"like Kobe
35 for a Rollie, with the stick like Ginobili
And I ball like Ginobili
And I ball just"
Ginobili,Kylie,Jordan Solomon,2016-04-17,NA,"fuckin' know me
Couple tings, twenty got my feeling like Ginobili
I'm a young Hefner, suggest you don't"
Ginobili,When You Gonna Drop,Boosie Badazz,2006-10-24,NA,"my way look like Tim Duncan, Tony Parker and Manu Ginobili
Ask about me if you don't know me"
Ginobili,Maybe It’s The Juice,Gucci Mane,2014-12-25,NA,"Miss lady say she know me
I'm ballin' like Ginobili
She say I fucked her in east LA, man"
Ginobili,Take Us a Xan,Young Thug,,NA,"Dicked down, like she 'posed to
My bitch ball like Ginobili
My Balmain's cost a Rollie
My Balmain's"
Ginobili,Don’t Play,Young Chris,2014-05-05,NA,"King and Wade, Shaq and Kobe
Call my hitter black Ginobili
Young niggas hold the block down
Ride winter time"
Ginobili,KJ,YungManny,2019-01-22,NA,"broke then who's to blame?
Ah, uh, Spanish plug, Ginobili
Catch an opp 101 like I'm Zoey
Shoot"
